service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
279.0.1,1,1,1,1,1,0,0,20251027,20260109
279.0.2,0,0,0,0,0,1,0,20251101,20260110
279.0.3,0,0,0,0,0,0,1,20251102,20260111
279.100.1,1,1,0,1,0,0,0,20251027,20260108
279.102.1,1,0,1,0,1,0,0,20251027,20260109
279.103.1,0,1,0,1,0,0,0,20251028,20260108
279.108.1,0,1,0,1,0,0,0,20251028,20260108
279.109.1,1,1,1,0,1,0,0,20251027,20260109
279.1175.1,1,0,0,0,0,0,0,20251027,20260105
279.120.1,1,1,1,0,0,0,0,20251029,20260107
279.121.1,0,0,1,0,1,0,0,20251029,20260109
279.131.1,1,1,1,1,1,0,0,20251027,20260109
279.1422.1,1,1,1,1,1,0,0,20251027,20260109
279.1423.1,0,0,1,0,0,0,0,20251231,20251231
279.150.1,1,1,1,1,1,0,0,20251028,20260109
279.151.1,0,1,0,1,0,0,0,20251028,20260108
279.152.1,0,0,1,0,1,0,0,20251029,20260109
279.1545.1,1,1,0,1,0,0,0,20251027,20260108
279.155.1,0,0,1,0,1,0,0,20251029,20260109
279.1566.1,1,1,1,1,1,0,0,20251028,20260109
279.1567.1,1,1,1,1,0,0,0,20251027,20251204
279.157.1,0,0,1,0,1,0,0,20251029,20260109
279.159.1,1,1,1,1,1,0,0,20251027,20260109
279.160.1,0,0,0,0,1,0,0,20251111,20260102
279.161.1,0,0,1,0,1,0,0,20251029,20260109
279.1657.3,0,0,0,0,0,0,1,20251228,20260104
279.1660.1,1,0,0,0,0,0,0,20251124,20251124
279.171.1,1,1,1,1,1,0,0,20251027,20260109
279.173.1,1,1,0,1,0,0,0,20251027,20260108
279.176.1,1,0,0,0,0,0,0,20251027,20260105
279.177.1,0,1,1,1,1,0,0,20251028,20260109
279.178.1,1,1,1,1,1,0,0,20251027,20260109
279.179.1,0,0,0,0,1,0,0,20251111,20260102
279.180.1,0,0,1,0,1,0,0,20251029,20260109
279.181.1,1,1,0,1,0,0,0,20251027,20260108
279.182.1,1,1,0,1,0,0,0,20251027,20260108
279.1827.1,1,1,0,0,1,0,0,20251027,20260109
279.1828.1,0,0,0,1,0,0,0,20251030,20260108
279.1843.1,1,1,1,0,1,0,0,20251027,20260109
279.191.1,1,1,0,1,0,0,0,20251027,20260108
279.1919.1,1,1,1,1,1,0,0,20251027,20260109
279.1921.1,1,0,1,0,1,0,0,20251029,20260109
279.1923.1,1,0,0,0,0,0,0,20251027,20260105
279.1924.1,0,0,0,0,1,0,0,20251111,20260102
279.193.1,0,0,1,0,1,0,0,20251029,20260109
279.2068.1,1,1,1,1,1,0,0,20251027,20260109
279.2069.1,1,1,1,1,1,0,0,20251027,20260109
279.2070.1,1,1,0,1,0,0,0,20251027,20260108
279.2071.1,1,0,0,0,0,0,0,20251027,20251208
279.2075.1,1,1,1,1,1,0,0,20251027,20260109
279.2082.1,1,1,1,1,1,0,0,20251027,20260109
279.2093.1,1,1,1,1,1,0,0,20251028,20260109
279.2152.1,0,0,1,0,1,0,0,20251029,20260109
279.2153.1,1,1,0,1,0,0,0,20251027,20260108
279.2179.1,1,1,0,0,0,0,0,20251111,20260105
279.2181.1,1,1,0,0,0,0,0,20251111,20260105
279.2321.1,1,1,0,0,0,0,0,20251111,20260105
279.2348.1,1,1,1,1,1,0,0,20251027,20260109
279.2349.1,1,1,1,1,1,0,0,20251027,20260109
279.2491.1,0,0,0,1,0,0,0,20251030,20260108
279.2561.1,0,0,1,0,0,0,0,20251029,20260107
279.2657.1,1,1,1,1,1,0,0,20251103,20260109
279.2670.1,1,1,1,1,1,0,0,20251027,20251031
279.3043.1,0,1,1,0,1,0,0,20251029,20260109
279.3044.1,1,1,0,1,0,0,0,20251027,20260108
279.3190.1,1,1,1,0,1,0,0,20251111,20260102
279.327.1,1,1,1,1,1,0,0,20251027,20260109
279.41.1,1,1,1,1,0,0,0,20251027,20260108
279.42.1,0,0,0,0,1,0,0,20251031,20260109
279.57.1,0,1,0,1,0,0,0,20251028,20260108
279.58.1,1,1,1,0,1,0,0,20251027,20260109
279.59.1,0,0,1,0,1,0,0,20251029,20260109
279.62.1,0,0,1,0,1,0,0,20251029,20260109
279.64.1,1,1,1,1,1,0,0,20251027,20260109
279.65.1,1,1,0,0,0,0,0,20251103,20260105
279.66.1,0,0,1,0,0,0,0,20251029,20260107
279.67.1,1,1,0,1,1,0,0,20251027,20260109
279.745.1,1,0,0,0,0,0,0,20251027,20251215
279.746.1,1,0,0,0,0,0,0,20251027,20251215
279.76.1,1,1,0,1,1,0,0,20251027,20260109
279.79.1,0,1,0,1,0,0,0,20251028,20260108
279.80.1,1,1,0,1,0,0,0,20251027,20260108
279.87.1,0,0,1,0,1,0,0,20251029,20260109
279.88.1,1,1,0,1,0,0,0,20251027,20260108
279.89.1,1,1,0,1,0,0,0,20251027,20260108
279.897.1,0,0,1,0,1,0,0,20251029,20260109
279.901.1,1,0,1,0,1,0,0,20251027,20260109
279.905.1,1,1,0,1,0,0,0,20251027,20260108
279.96.1,0,1,0,1,0,0,0,20251028,20260108
279.98.1,0,0,1,0,1,0,0,20251029,20260109
