service_id,date,exception_type
279.0.1,20251127,2
279.0.1,20251225,2
279.0.1,20260101,2
279.0.3,20251127,1
279.0.3,20251225,1
279.0.3,20260101,1
279.100.1,20251111,2
279.100.1,20251125,2
279.100.1,20251127,2
279.100.1,20251216,2
279.100.1,20251218,2
279.100.1,20251222,2
279.100.1,20251223,2
279.100.1,20251225,2
279.100.1,20251229,2
279.100.1,20251230,2
279.100.1,20260101,2
279.102.1,20251125,1
279.102.1,20251110,2
279.102.1,20251124,2
279.102.1,20251126,2
279.102.1,20251128,2
279.102.1,20251217,2
279.102.1,20251219,2
279.102.1,20251222,2
279.102.1,20251224,2
279.102.1,20251226,2
279.102.1,20251229,2
279.102.1,20251231,2
279.102.1,20260102,2
279.103.1,20251110,1
279.103.1,20251124,1
279.103.1,20251126,1
279.103.1,20251128,1
279.103.1,20251217,1
279.103.1,20251219,1
279.103.1,20251222,1
279.103.1,20251224,1
279.103.1,20251226,1
279.103.1,20251229,1
279.103.1,20251231,1
279.103.1,20260102,1
279.103.1,20251125,2
279.103.1,20251127,2
279.103.1,20251225,2
279.103.1,20260101,2
279.108.1,20251110,1
279.108.1,20251124,1
279.108.1,20251111,2
279.108.1,20251125,2
279.108.1,20251127,2
279.108.1,20251216,2
279.108.1,20251218,2
279.108.1,20251223,2
279.108.1,20251225,2
279.108.1,20251230,2
279.108.1,20260101,2
279.109.1,20251218,1
279.109.1,20251028,2
279.109.1,20251104,2
279.109.1,20251110,2
279.109.1,20251118,2
279.109.1,20251124,2
279.109.1,20251202,2
279.109.1,20251209,2
279.109.1,20260106,2
279.1175.1,20251111,1
279.1175.1,20251125,1
279.1175.1,20251126,1
279.1175.1,20251128,1
279.1175.1,20251223,1
279.1175.1,20251224,1
279.1175.1,20251226,1
279.1175.1,20251230,1
279.1175.1,20251231,1
279.1175.1,20260102,1
279.1175.1,20251103,2
279.1175.1,20251110,2
279.1175.1,20251117,2
279.1175.1,20251208,2
279.1175.1,20251215,2
279.120.1,20251128,1
279.120.1,20251218,1
279.120.1,20251219,1
279.120.1,20251226,1
279.120.1,20260102,1
279.120.1,20251104,2
279.120.1,20251110,2
279.120.1,20251117,2
279.120.1,20251118,2
279.120.1,20251201,2
279.120.1,20251202,2
279.120.1,20251208,2
279.120.1,20251209,2
279.120.1,20251215,2
279.120.1,20251216,2
279.121.1,20251215,1
279.121.1,20251126,2
279.121.1,20251128,2
279.121.1,20251217,2
279.121.1,20251219,2
279.121.1,20251224,2
279.121.1,20251226,2
279.121.1,20251231,2
279.121.1,20260102,2
279.131.1,20251111,2
279.131.1,20251126,2
279.131.1,20251127,2
279.131.1,20251128,2
279.131.1,20251222,2
279.131.1,20251223,2
279.131.1,20251224,2
279.131.1,20251225,2
279.131.1,20251226,2
279.131.1,20251229,2
279.131.1,20251230,2
279.131.1,20251231,2
279.131.1,20260101,2
